. z..6.benzylidene.3.hydroxymethyl.1.4.dimethyl.3.methylsulfanylpiperazine.2.5.dione
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5s.6r..2...2s.3s.4s.5r.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6s..5.acetamido.4.6.dihydroxy.2....2s.3r.4s.5r.6r..3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6....2s.3s.4s.5s.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl.oxan.4.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5s.6r..6...2s.3s.4s.5r.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6r..5.acetamido.4.6.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.6....2s.3s.4s.5s.6r..3...2s.3r.4r.5s.6r..3.acetamido.4.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl..3.5.dihydroxyoxan.4.yl.oxy.5...2s.3r.4r.5s.6r..3.acetamido.4.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.2.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5s.6r..6...2s.3s.4s.5r.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6r..5.acetamido.4.6.dihydroxy.2....2r.3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6....2s.3s.4s.5s.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl.oxan.4.yl.oxy.5...2s.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..2.carboxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5r.6s..3.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5r.6s..3.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3s.4s.5s.6r..2....2r.3r.4s.5s.6s..6...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r..5.acetamido.4.6.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4...2r.3s.4s.5s.6r..3...2s.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..2.carboxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.5.dihydroxyoxan.2.yl.methoxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3s.4s.5s.6r..2....2r.3r.4s.5s.6s..6...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r..5.acetamido.4.6.dihydroxy.2....3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4...2r.3s.4s.5s.6r..3...2s.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..2.carboxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.5.dihydroxyoxan.2.yl.methoxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3s.4s.5s.6r..2....2r.3r.4s.5s.6s..6...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6r..5.acetamido.4.6.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4...2r.3s.4s.5s.6r..3...2s.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..2.carboxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.5.dihydroxyoxan.2.yl.methoxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2s.3s.4s.5s.6r..2....2r.3r.4s.5s.6s..6...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6r..5.acetamido.4.6.dihydroxy.2....3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4...2r.3s.4s.5s.6r..3...2s.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..2.carboxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.5.dihydroxyoxan.2.yl.methoxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...3r.4r.5s.6r..2.3.dihydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...3r.4r.5s.6r..5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2.3.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2...3r.4r.5s.6r..5...2s.3r.4r.5r.6r..5...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2.3.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..2....2r.3r.4s.5r.6s..6...2r.3s.4r.5r.6r..5.acetamido.4.6.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.4.5.trihydroxyoxan.2.yl.methoxy..4.hydroxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..4.acetyloxy.2...2r.3s.4s.5r.6s..3.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.5...2.hydroxyacetyl.amino..6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..4.hydroxy.5...2.hydroxyacetyl.amino..2...2r.3r.4s.5s.6r..2.3.5.trihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..4.hydroxy.5...2.hydroxyacetyl.amino..2...3r.4s.5s.6r..2.3.5.trihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r..6...2r.3s.4r.5r..5.acetamido.6...3s.4s.5s.6r..2....2r.3r.4s.5s.6s..4...3s.4s.5s.6r..3...3r.4r.5s.6r..3.acetamido.5...3r.4r.5r.6r..5...2s.4s.5r.6r..5.acetamido.2.carboxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.4.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.6...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r..5.acetamido.4.6.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxyoxan.2.yl.methoxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.5.dihydroxy.2..hydroxymethyl.oxan.3.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6r..3.acetamido.2...2r.3r.4r.5r.6s..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.5...2s.3r.4s.5s.6r..4...2s.4s.5r.6r..5.acetamido.2.carboxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxan.2.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6r..3.acetamido.2...2s.3r.4s.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4s.5r.6s..3.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.3.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6s..5.acetamido.3.hydroxy.2..hydroxymethyl..6...2r.3s.4r.5r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5r.6s..5.acetamido.3.hydroxy.2..hydroxymethyl..6...3r.4s.5s.6r..2.3.5.trihydroxy.6..hydroxymethyl.oxan.4.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5r..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5r..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.6..hydroxymethyl..5...2s.3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxyoxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5r.6s..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5r.6s..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.5...2s.3r.4r.5r.6r..5...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5r.6s..5.acetamido.2....2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.6..hydroxymethyl..5...2s.3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxyoxan.2.yl.oxymethyl..3.6.dihydroxyoxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3r.4r.5s.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3s.4r.5s.6s..3.4.5.trihydroxy.6.methyloxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2r.3s.4r.5r.6s..5.acetamido.6...2r.3s.4r.5r.6s..3...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.4.hydroxy.2..hydroxymethyl.oxan.3.yl.oxy.5...2r.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2s.3r.4r.5r.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.5...2r.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2s.3r.4r.5r.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2s.3r.4r.5r.6r..3.acetamido.2...2r.3r.4r.5r.6s..4.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.3.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.5...2s.3r.4r.5r.6r..3.acetamido.5.hydroxy.6..hydroxymethyl..4...2r.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2s.3r.4s.5r..2.acetamido.6...2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.1.4.5.trihydroxyhexan.3.yl.oxy.3.hydroxy.6..hydroxymethyl..5...2s.3r.4s.5r.6r..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyoxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..2...2s.3r.4s.5r..2.acetamido.6...2r.3r.4r.5s.6r..3.acetamido.4...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.2.yl.oxy.1.4.5.trihydroxyhexan.3.yl.oxy.5...2s.3r.4r.5r.6r..5...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2r.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...3r.4r.5r.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2r.3r.4r.5s.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...2s.3r.4s.5r..2.acetamido.1.4.5.6.tetrahydroxyhexan.3.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...2r.3r.4r.5r.6r..5.acetamido.3.hydroxy.2..hydroxymethyl..6...3r.4s.5s.6r..2.3.5.trihydroxy.6..hydroxymethyl.oxan.4.yl.oxyoxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...2s.3r.4r.5r.6r..3.acetamido.2...2r.3r.4r.5r.6s..4.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.3.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...2s.3r.4r.5s.6r..3.acetamido.2...2r.3s.4s.5r.6s..3.5.dihydroxy.2..hydroxymethyl..6...2r.3s.4r.5r.6r..4.5.6.trihydroxy.2..hydroxymethyl.oxan.3.yl.oxyoxan.4.yl.oxy.5.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
.2s.4s.5r.6r..5.acetamido.2...2r.3r.4r.5s.6r..5...2s.3r.4r.5r.6r..3.acetamido.4.5.dihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.2...3r.4r.5r.6r..3.acetamido.2.5.dihydroxy.6..hydroxymethyl.oxan.4.yl.oxy.3.hydroxy.6..hydroxymethyl.oxan.4.yl.oxy.4.hydroxy.6...1r.2r..1.2.3.trihydroxypropyl.oxane.2.carboxylic acid
